job_id,start_time,wait_time
J006,1,0
J008,1,0
J015,5,0
J004,6,0
J011,17,0
J013,18,1
J003,24,10
J010,29,15
J001,44,4
J005,44,7
J012,44,0
J002,48,1
J014,57,9
J009,58,13
J007,76,62
